date,RV
2018-06-02,9.997312419524702
2018-06-03,10.48361196372664
2018-06-04,13.861807815409202
2018-06-05,17.141613299988453
2018-06-06,12.072714941120529
2018-06-07,7.767144416228654
2018-06-08,5.9242754614097395
2018-06-09,3.365433128511707
2018-06-10,35.27032541980618
2018-06-11,38.56768111021937
2018-06-12,27.61382123478115
2018-06-13,49.461029609423974
2018-06-14,67.01527939463065
2018-06-15,24.067267544053614
2018-06-16,14.339943916916063
2018-06-17,5.6509279420059375
2018-06-18,17.174775484160477
2018-06-19,9.403066908540664
2018-06-20,12.768868449242053
2018-06-21,7.07773305954281
2018-06-22,43.82933268609613
2018-06-23,35.797653405118226
2018-06-24,59.216255222418546
2018-06-25,29.249406627308918
2018-06-28,11.212524903509685
2018-06-29,22.039615056547404
2018-06-30,28.51243858114709
2018-07-01,9.26932431266163
2018-07-02,15.14622573846868
2018-07-03,9.930833911787134
2018-07-05,13.511862665160116
2018-07-06,8.152908018179067
2018-07-07,4.147568510932944
2018-07-08,10.137568521346013
2018-07-09,4.68485480624507
2018-07-10,21.95752468064016
2018-07-11,14.681161417126134
2018-07-12,8.027353273750794
2018-07-13,9.210142036483633
2018-07-14,5.56552584605491
2018-07-15,3.759061824110374
2018-07-16,10.351319698659287
2018-07-17,25.804116032943742
2018-07-18,15.287224307862957
2018-07-19,11.843193412816664
2018-07-20,18.856171836324574
2018-07-21,11.53406443788646
2018-07-22,7.1008664165586035
2018-07-23,11.850463396045786
2018-07-24,15.937016234221733
2018-07-25,10.247736226323989
2018-07-26,6.7097602967142596
2018-07-27,11.045929201913621
2018-07-28,4.133879248206988
2018-07-29,2.7563968681555435
2018-07-30,5.9567287940758975
2018-07-31,9.51402604341987
2018-08-01,13.190685144403055
2018-08-02,10.862039819119051
2018-08-03,7.7217842216618
2018-08-04,8.08714755465765
2018-08-05,5.873006690818322
2018-08-06,2.8752767997174535
2018-08-07,13.641070238217504
2018-08-08,29.1083281179686
2018-08-09,13.58859985333035
