date,RV
2018-06-02,21.27073644291727
2018-06-03,12.687185353638068
2018-06-04,21.112447160582846
2018-06-05,32.471973093122145
2018-06-06,79.5677891030504
2018-06-07,38.09229871457325
2018-06-08,33.91827298305627
2018-06-09,21.019075785757984
2018-06-10,76.36799080704115
2018-06-11,54.87552052547747
2018-06-12,66.75932927807996
2018-06-13,85.39292469949379
2018-06-14,63.58295837533096
2018-06-15,32.33581511746831
2018-06-16,23.60250079326722
2018-06-17,22.379826522783276
2018-06-18,39.33389382812214
2018-06-19,24.480064895415914
2018-06-20,24.012778512356256
2018-06-21,35.22636282827662
2018-06-22,50.630852363855475
2018-06-23,36.00306147795862
2018-06-24,91.29290890979397
2018-06-25,38.24664965349896
2018-06-28,25.74567674439676
2018-06-29,24.934074208151486
2018-06-30,31.077407534346506
2018-07-01,15.290358945224948
2018-07-02,15.804353886660463
2018-07-03,10.604819275427717
2018-07-05,14.791226551789336
2018-07-06,14.578301083718598
2018-07-07,22.171785699264582
2018-07-08,13.199459827043704
2018-07-09,10.764694666693934
2018-07-10,22.72989000424744
2018-07-11,22.47630178743065
2018-07-12,15.64365824938283
2018-07-13,13.659726139699307
2018-07-14,10.790752031964463
2018-07-15,5.685007142693524
2018-07-16,20.81296070494288
2018-07-17,32.402543516129455
2018-07-18,24.26030817467456
2018-07-19,24.75513535585395
2018-07-20,26.12091268588079
2018-07-21,13.799190566894186
2018-07-22,12.341612365092372
2018-07-23,15.589604412963789
2018-07-24,17.043573700092114
2018-07-25,35.24959136957038
2018-07-26,17.54187933094901
2018-07-27,30.606242587826802
2018-07-28,24.565712410257046
2018-07-29,29.460252793448767
2018-07-30,20.551866945114718
2018-07-31,23.16884951579223
2018-08-01,34.22731090437322
2018-08-02,16.510043061642666
2018-08-03,25.59486908247464
2018-08-04,19.5914250799236
2018-08-05,17.367757071959733
2018-08-06,9.994251424484581
2018-08-07,11.593066176970826
2018-08-08,28.133053790915564
2018-08-09,17.13302194569537
2018-08-10,21.86242201162455
2018-08-11,37.768606422000055
2018-08-12,27.254888371477364
