date,RV
2012-01-12,0.06752849707327736
2012-01-13,0.10762733099075383
2012-01-16,0.06578561537151476
2012-01-17,0.09365199087031074
2012-01-18,0.06913234648832758
2012-01-19,0.10097331245943668
2012-01-20,0.18839203952149294
2012-01-23,0.07037202152404388
2012-01-24,0.26489216285135186
2012-01-25,0.5251205921287833
2012-01-26,0.21147084588980322
2012-01-27,0.33038399924894074
2012-01-30,0.11657502768894275
2012-01-31,0.20380493361345398
2012-02-01,0.12369101462863226
2012-02-02,0.07833830769475576
2012-02-03,0.22675012559792182
2012-02-06,0.12293300965332253
2012-02-07,0.14358429861477218
2012-02-08,0.18927472404799142
2012-02-09,0.2014905672534263
2012-02-10,0.1337286152079583
2012-02-13,0.14902888209636822
2012-02-14,0.364871573703915
2012-02-15,0.31147000063862984
2012-02-16,0.1732999373644841
2012-02-17,0.19337052156151713
2012-02-20,0.29561115227915147
2012-02-21,0.17146447254561412
2012-02-22,0.22754815933486774
2012-02-23,0.2167838169389125
2012-02-24,0.33917748887219984
2012-02-27,0.8438746208242205
2012-02-28,0.5658582883204478
2012-02-29,0.427517321435339
2012-03-01,0.4310361229719868
2012-03-02,0.2988485394495966
2012-03-05,0.3972426109392997
2012-03-06,0.3612028335206726
2012-03-07,0.36564569344063214
2012-03-08,0.37506055104941033
2012-03-09,0.5883849273254785
2012-03-12,0.24550716461010363
2012-03-13,0.5405441430885025
2012-03-14,0.3074001219966596
2012-03-15,0.5549840958297241
2012-03-16,0.5084285035438223
2012-03-19,0.3005819467051286
2012-03-20,0.27250964126888727
2012-03-21,0.30902116418661746
2012-03-22,0.7872695560506832
2012-03-23,0.37510627449222056
2012-03-26,0.37783149720927783
2012-03-27,0.3257698220283028
2012-03-28,0.406688908892295
2012-03-29,0.3847653233403303
2012-03-30,0.5429059206731222
2012-04-02,0.5475664692588335
2012-04-03,0.7387258046949321
2012-04-04,0.4174761906131966
2012-04-05,0.33477201211850327
2012-04-06,1.081916368316493
2012-04-10,0.5035014427525143
2012-04-11,0.3829485104103138
2012-04-12,0.22107233481771527
2012-04-13,0.2183998219191492
2012-04-16,0.26429530790282696
2012-04-17,0.2040207622234042
2012-04-18,0.23108264906229495
2012-04-19,0.25866719286225465
2012-04-20,0.15399929087028078
2012-04-23,0.16210472682555715
2012-04-24,0.19267364427841438
2012-04-25,0.33525832783350595
2012-04-26,0.2479394315012421
2012-04-27,0.6781596138773885
2012-04-30,0.1680851230155428
2012-05-01,0.33579224697152543
2012-05-02,0.2073128292584894
2012-05-03,0.15021550379292278
2012-05-04,0.19494575948263804
2012-05-07,0.2153666733370421
2012-05-08,0.1296001167074643
2012-05-09,0.13466365600056396
2012-05-10,0.157249258936007
2012-05-11,0.12732592089241218
2012-05-14,0.14341773982748737
2012-05-15,0.13389832892594694
2012-05-16,0.1399338101763199
2012-05-17,0.5711970139381347
2012-05-18,0.19742089851544986
2012-05-21,0.1482687515845541
2012-05-22,0.2401784680450061
2012-05-23,0.2753657453134876
2012-05-24,0.09372076668715917
2012-05-25,0.09371107620932669
2012-05-28,0.09067161939836682
2012-05-29,0.11765666857640276
2012-05-30,0.17566327184956051
2012-05-31,0.3015749096635845
2012-06-01,0.8151170029935502
2012-06-05,0.2888651874486141
2012-06-06,0.3578105312776272
2012-06-07,0.32379212128142665
2012-06-08,0.273087524399837
2012-06-11,0.3250500887470509
2012-06-12,0.2574446041450707
2012-06-13,0.1597411680454175
2012-06-14,0.16299058729119706
2012-06-15,0.30941485432972515
2012-06-18,0.29791179721979155
2012-06-19,0.13120544690106975
2012-06-20,0.37104650746488943
2012-06-21,0.31662393802193173
2012-06-22,0.19821347050022284
2012-06-25,0.2685665722441514
2012-06-26,0.28334283685949524
2012-06-27,0.17730578853058657
2012-06-28,0.1692626411925619
2012-06-29,0.39611344490371886
2012-07-02,0.3212595975124317
2012-07-03,0.17857072860906362
2012-07-04,0.09583741228852778
2012-07-05,0.28300397545628186
2012-07-06,0.19184495721340603
2012-07-09,0.12513386226840115
2012-07-10,0.12804321664833526
2012-07-11,0.17902685031794086
2012-07-12,0.29919971340363605
