date,RV
2018-06-02,6.207191320938765
2018-06-03,3.2984855064358922
2018-06-04,4.893549441240908
2018-06-05,6.981440852042765
2018-06-06,5.864761498444647
2018-06-07,3.6511689097365774
2018-06-08,3.0897032150938095
2018-06-09,1.9622847832662478
2018-06-10,24.468025338914618
2018-06-11,12.06883342301192
2018-06-12,14.158070608584618
2018-06-13,32.1133436145658
2018-06-14,19.84358417437466
2018-06-15,9.795556300779122
2018-06-16,7.977385712064891
2018-06-17,3.6325196874678807
2018-06-18,17.436579655727314
2018-06-19,3.4666840772205263
2018-06-20,5.2991689199394125
2018-06-21,2.364042723235727
2018-06-22,23.106271606736836
2018-06-23,15.824617220676924
2018-06-24,35.32587143596779
2018-06-25,10.764429389841023
2018-06-28,3.7214459386502674
2018-06-29,12.167002158349563
2018-06-30,29.148728204325504
2018-07-01,5.339378613061732
2018-07-02,12.950092914259367
2018-07-03,3.422188011274232
2018-07-05,11.29492085490918
2018-07-06,4.974947437198029
2018-07-07,2.3058819646902555
2018-07-08,6.494231721327515
2018-07-09,2.8092681448762717
2018-07-10,8.193757857544414
2018-07-11,5.66210665130387
2018-07-12,4.836333942943517
2018-07-13,6.282264174124748
2018-07-14,3.9143295805471467
2018-07-15,2.4311893422709017
2018-07-16,5.011474069426095
2018-07-17,35.57704448609447
2018-07-18,14.092257177958787
2018-07-19,7.406186445924616
2018-07-20,15.572768170021025
2018-07-21,6.111960583956375
2018-07-22,3.8850929128223046
2018-07-23,13.361568683652976
2018-07-24,9.589740914889747
2018-07-25,10.481902222808493
2018-07-26,7.393032962350252
2018-07-27,15.772616925860063
2018-07-28,5.486307704076384
2018-07-29,2.7155844659392048
2018-07-30,9.781418712170888
2018-07-31,10.175850158783254
2018-08-01,9.20499520089129
2018-08-02,11.00272604481761
2018-08-03,8.051661407876225
2018-08-04,14.001275205328731
2018-08-05,9.755122902872081
2018-08-06,6.940228357624014
2018-08-07,8.435448928231759
2018-08-08,23.027817253949827
2018-08-09,13.92879753254014
2018-08-10,21.869314754756417
2018-08-11,31.694405400191638
2018-08-12,19.68754192907264
2018-08-13,10.965145005170118
2018-08-14,20.430606573163693
2018-08-15,24.762092360848175
2018-08-16,16.75933443454285
2018-08-17,14.55075148336405
2018-08-18,11.086027173289821
2018-08-19,7.006779045703987
2018-08-20,5.705255425933554
2018-08-21,8.382632002963073
2018-08-22,31.7945882292606
2018-08-23,10.860987584895799
2018-08-24,6.381506282519834
2018-08-25,4.093430376804263
2018-08-26,4.798877308853664
2018-08-27,2.6187380256453303
2018-08-28,6.601677499224964
2018-08-29,4.861723850618601
2018-08-30,4.792505715665494
2018-08-31,4.0549741406210735
2018-09-01,4.278437418225075
2018-09-02,5.35617696439257
2018-09-03,2.9027664647335283
2018-09-04,2.6681613952642427
2018-09-05,17.465531641356353
2018-09-06,25.292120234355263
2018-09-07,8.595881604052027
2018-09-08,13.947063390001118
2018-09-09,8.531394917647388
2018-09-10,7.865224160915705
2018-09-11,6.102499564257521
2018-09-12,3.8848522230036724
2018-09-13,4.666666687888356
2018-09-14,6.890349705311526
2018-09-15,2.8948529395061127
2018-09-16,4.0444812689395375
2018-09-17,6.310197397418184
2018-09-18,3.8942087240916865
2018-09-19,13.364149175769251
2018-09-20,2.849518401789592
2018-09-21,9.208521765800803
2018-09-22,5.418804453690862
2018-09-23,2.888302018263401
2018-09-24,3.4858462586719083
2018-09-25,7.568459643147768
2018-09-26,3.8665679331034637
2018-09-27,5.159151639208556
2018-09-28,7.555899694407181
2018-09-29,6.343160876242262
2018-09-30,3.512663550269214
2018-10-01,3.3094569289051763
2018-10-02,2.0095280746659556
2018-10-03,3.0607424588908976
2018-10-04,3.2349964319125113
2018-10-05,1.6601292083587242
2018-10-06,2.1342002609513693
2018-10-07,0.9518705329457926
2018-10-08,1.7475642366121098
2018-10-09,0.9631221949950161
2018-10-10,1.7306325530251359
2018-10-11,13.68192046528863
2018-10-12,3.117235237564934
2018-10-13,1.362032357238475
2018-10-14,1.0516322530887674
2018-10-15,114.91960226828628
2018-10-16,6.846832171318658
2018-10-17,2.228024942895006
2018-10-18,2.4302476292922544
2018-10-20,0.9608849226479788
2018-10-21,0.9106925613921305
2018-10-22,1.4124937216500715
2018-10-23,0.8203679896239501
2018-10-24,0.9346789863305037
